2025-12-30 01:08:18.337 | INFO     | Request: GET /api/graph/AAPL/expand/0001308179-25-000008 | Client: 127.0.0.1 | Query params: {'node_type': 'filing'}
2025-12-30 01:08:18.338 | INFO     | Response: GET /api/graph/node/0001308179-25-000008 | Status: 200 | Time: 0.012s
2025-12-30 01:08:18.343 | INFO     | Response: GET /api/graph/AAPL/expand/0001308179-25-000008 | Status: 200 | Time: 0.005s
2025-12-30 01:08:30.441 | INFO     | Request: GET /api/graph/node/0000320193-25-000073 | Client: 127.0.0.1 | Query params: {'labels': 'Filing'}
2025-12-30 01:08:30.454 | INFO     | Response: GET /api/graph/node/0000320193-25-000073 | Status: 200 | Time: 0.013s
2025-12-30 01:08:30.634 | INFO     | Request: GET /api/graph/node/0000320193-25-000073 | Client: 127.0.0.1 | Query params: {'labels': 'Filing'}
2025-12-30 01:08:30.649 | INFO     | Request: GET /api/graph/AAPL/expand/0000320193-25-000073 | Client: 127.0.0.1 | Query params: {'node_type': 'filing'}
2025-12-30 01:08:30.649 | INFO     | Response: GET /api/graph/node/0000320193-25-000073 | Status: 200 | Time: 0.015s
2025-12-30 01:08:30.655 | INFO     | Response: GET /api/graph/AAPL/expand/0000320193-25-000073 | Status: 200 | Time: 0.006s
2025-12-30 01:08:33.532 | INFO     | Request: GET /api/graph/AAPL/expand/0000320193-25-000073_Itemdocument | Client: 127.0.0.1 | Query params: {'node_type': 'section'}
2025-12-30 01:08:33.562 | INFO     | Response: GET /api/graph/AAPL/expand/0000320193-25-000073_Itemdocument | Status: 200 | Time: 0.030s
2025-12-30 01:08:33.714 | INFO     | Request: GET /api/graph/AAPL/expand/0000320193-25-000073_Itemdocument | Client: 127.0.0.1 | Query params: {'node_type': 'section'}
2025-12-30 01:08:33.745 | INFO     | Response: GET /api/graph/AAPL/expand/0000320193-25-000073_Itemdocument | Status: 200 | Time: 0.031s
2025-12-30 01:08:41.255 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itemdocument_chunk_1 | Client: 127.0.0.1 | Query params: {'labels': 'Chunk'}
2025-12-30 01:08:41.268 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itemdocument_chunk_1 | Status: 200 | Time: 0.014s
2025-12-30 01:08:43.978 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itemcash_flow_statement | Client: 127.0.0.1 | Query params: {'labels': 'PeriodicReportSection,Section'}
2025-12-30 01:08:43.990 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itemcash_flow_statement | Status: 200 | Time: 0.012s
2025-12-30 01:08:44.179 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itemcash_flow_statement | Client: 127.0.0.1 | Query params: {'labels': 'PeriodicReportSection,Section'}
2025-12-30 01:08:44.192 | INFO     | Request: GET /api/graph/AAPL/expand/0000320193-25-000073_Itemcash_flow_statement | Client: 127.0.0.1 | Query params: {'node_type': 'section'}
2025-12-30 01:08:44.192 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itemcash_flow_statement | Status: 200 | Time: 0.013s
2025-12-30 01:08:44.198 | INFO     | Response: GET /api/graph/AAPL/expand/0000320193-25-000073_Itemcash_flow_statement | Status: 200 | Time: 0.007s
2025-12-30 01:08:47.972 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itemcash_flow_statement_chunk_0 | Client: 127.0.0.1 | Query params: {'labels': 'Chunk'}
2025-12-30 01:08:47.987 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itemcash_flow_statement_chunk_0 | Status: 200 | Time: 0.015s
