2025-12-30 01:35:43.475 | INFO     | api.graph:expand_node:78 | Expanding node 0000912057-97-019277_Item1 (type: section) for ticker: AAPL
2025-12-30 01:35:43.479 | INFO     | services.neo4j_service:expand_section:465 | expand_section completed for 0000912057-97-019277_Item1: 0 nodes, 0 edges in 0.004s
2025-12-30 01:35:43.480 | WARNING  | api.graph:expand_node:92 | No data found for node: 0000912057-97-019277_Item1
2025-12-30 01:35:43.480 | INFO     | app:dispatch:50 | Response: GET /api/graph/node/0000912057-97-019277_Item1 | Status: 200 | Time: 0.016s
2025-12-30 01:35:43.481 | INFO     | app:dispatch:50 | Response: GET /api/graph/AAPL/expand/0000912057-97-019277_Item1 | Status: 404 | Time: 0.007s
2025-12-30 01:35:45.812 | INFO     | app:dispatch:39 | Request: GET /api/graph/node/0000320193-25-000079 | Client: 127.0.0.1 | Query params: {'labels': 'Filing'}
2025-12-30 01:35:45.813 | INFO     | api.graph:get_node_details:134 | Getting details for node 0000320193-25-000079 with labels: ['Filing']
2025-12-30 01:35:45.824 | INFO     | services.neo4j_service:get_node_relationships:605 | get_node_relationships completed for 0000320193-25-000079: 0 incoming, 5 outgoing in 0.007s
2025-12-30 01:35:45.825 | INFO     | api.graph:get_node_details:171 | Node details retrieved for 0000320193-25-000079: 0 incoming, 5 outgoing relationships in 0.012s
2025-12-30 01:35:45.825 | INFO     | app:dispatch:50 | Response: GET /api/graph/node/0000320193-25-000079 | Status: 200 | Time: 0.013s
2025-12-30 01:35:45.991 | INFO     | app:dispatch:39 | Request: GET /api/graph/node/0000320193-25-000079 | Client: 127.0.0.1 | Query params: {'labels': 'Filing'}
2025-12-30 01:35:45.991 | INFO     | api.graph:get_node_details:134 | Getting details for node 0000320193-25-000079 with labels: ['Filing']
2025-12-30 01:35:46.001 | INFO     | services.neo4j_service:get_node_relationships:605 | get_node_relationships completed for 0000320193-25-000079: 0 incoming, 5 outgoing in 0.005s
2025-12-30 01:35:46.002 | INFO     | api.graph:get_node_details:171 | Node details retrieved for 0000320193-25-000079: 0 incoming, 5 outgoing relationships in 0.010s
2025-12-30 01:35:46.002 | INFO     | app:dispatch:39 | Request: GET /api/graph/AAPL/expand/0000320193-25-000079 | Client: 127.0.0.1 | Query params: {'node_type': 'filing'}
2025-12-30 01:35:46.003 | INFO     | api.graph:expand_node:78 | Expanding node 0000320193-25-000079 (type: filing) for ticker: AAPL
2025-12-30 01:35:46.010 | INFO     | services.neo4j_service:expand_filing:401 | expand_filing completed for 0000320193-25-000079: 4 nodes, 3 edges in 0.006s
2025-12-30 01:35:46.010 | INFO     | api.graph:expand_node:100 | Node 0000320193-25-000079 expanded: 4 nodes, 3 edges in 0.006s
2025-12-30 01:35:46.010 | INFO     | app:dispatch:50 | Response: GET /api/graph/node/0000320193-25-000079 | Status: 200 | Time: 0.020s
2025-12-30 01:35:46.011 | INFO     | app:dispatch:50 | Response: GET /api/graph/AAPL/expand/0000320193-25-000079 | Status: 200 | Time: 0.009s
2025-12-30 01:35:47.797 | INFO     | app:dispatch:39 | Request: GET /api/graph/node/0000320193-25-000079_Item7 | Client: 127.0.0.1 | Query params: {'labels': 'Section,PeriodicReportSection'}
2025-12-30 01:35:47.798 | INFO     | api.graph:get_node_details:134 | Getting details for node 0000320193-25-000079_Item7 with labels: ['Section', 'PeriodicReportSection']
2025-12-30 01:35:47.815 | INFO     | services.neo4j_service:get_node_relationships:605 | get_node_relationships completed for 0000320193-25-000079_Item7: 1 incoming, 0 outgoing in 0.013s
2025-12-30 01:35:47.816 | INFO     | api.graph:get_node_details:171 | Node details retrieved for 0000320193-25-000079_Item7: 1 incoming, 0 outgoing relationships in 0.018s
2025-12-30 01:35:47.816 | INFO     | app:dispatch:50 | Response: GET /api/graph/node/0000320193-25-000079_Item7 | Status: 200 | Time: 0.019s
2025-12-30 01:35:47.970 | INFO     | app:dispatch:39 | Request: GET /api/graph/node/0000320193-25-000079_Item7 | Client: 127.0.0.1 | Query params: {'labels': 'Section,PeriodicReportSection'}
2025-12-30 01:35:47.971 | INFO     | api.graph:get_node_details:134 | Getting details for node 0000320193-25-000079_Item7 with labels: ['Section', 'PeriodicReportSection']
2025-12-30 01:35:47.986 | INFO     | services.neo4j_service:get_node_relationships:605 | get_node_relationships completed for 0000320193-25-000079_Item7: 1 incoming, 0 outgoing in 0.011s
2025-12-30 01:35:47.986 | INFO     | api.graph:get_node_details:171 | Node details retrieved for 0000320193-25-000079_Item7: 1 incoming, 0 outgoing relationships in 0.015s
2025-12-30 01:35:47.986 | INFO     | app:dispatch:39 | Request: GET /api/graph/AAPL/expand/0000320193-25-000079_Item7 | Client: 127.0.0.1 | Query params: {'node_type': 'section'}
2025-12-30 01:35:47.987 | INFO     | api.graph:expand_node:78 | Expanding node 0000320193-25-000079_Item7 (type: section) for ticker: AAPL
2025-12-30 01:35:47.996 | INFO     | services.neo4j_service:expand_section:465 | expand_section completed for 0000320193-25-000079_Item7: 8 nodes, 7 edges in 0.010s
2025-12-30 01:35:47.997 | INFO     | api.graph:expand_node:100 | Node 0000320193-25-000079_Item7 expanded: 8 nodes, 7 edges in 0.010s
2025-12-30 01:35:47.999 | INFO     | app:dispatch:50 | Response: GET /api/graph/node/0000320193-25-000079_Item7 | Status: 200 | Time: 0.029s
2025-12-30 01:35:47.999 | INFO     | app:dispatch:50 | Response: GET /api/graph/AAPL/expand/0000320193-25-000079_Item7 | Status: 200 | Time: 0.013s
2025-12-30 01:35:50.241 | INFO     | app:dispatch:39 | Request: GET /api/graph/node/0000320193-25-000079_Item7_chunk_0 | Client: 127.0.0.1 | Query params: {'labels': 'Chunk'}
2025-12-30 01:35:50.242 | INFO     | api.graph:get_node_details:134 | Getting details for node 0000320193-25-000079_Item7_chunk_0 with labels: ['Chunk']
2025-12-30 01:35:50.254 | INFO     | services.neo4j_service:get_node_relationships:605 | get_node_relationships completed for 0000320193-25-000079_Item7_chunk_0: 0 incoming, 0 outgoing in 0.003s
2025-12-30 01:35:50.254 | INFO     | api.graph:get_node_details:171 | Node details retrieved for 0000320193-25-000079_Item7_chunk_0: 0 incoming, 0 outgoing relationships in 0.012s
2025-12-30 01:35:50.255 | INFO     | app:dispatch:50 | Response: GET /api/graph/node/0000320193-25-000079_Item7_chunk_0 | Status: 200 | Time: 0.013s
2025-12-30 01:36:24.926 | INFO     | app:dispatch:39 | Request: GET /api/graph/node/0000320193-25-000066 | Client: 127.0.0.1 | Query params: {'labels': 'Filing'}
2025-12-30 01:36:24.927 | INFO     | api.graph:get_node_details:134 | Getting details for node 0000320193-25-000066 with labels: ['Filing']
2025-12-30 01:36:24.936 | INFO     | services.neo4j_service:get_node_relationships:605 | get_node_relationships completed for 0000320193-25-000066: 0 incoming, 2 outgoing in 0.004s
2025-12-30 01:36:24.937 | INFO     | api.graph:get_node_details:171 | Node details retrieved for 0000320193-25-000066: 0 incoming, 2 outgoing relationships in 0.010s
2025-12-30 01:36:24.937 | INFO     | app:dispatch:50 | Response: GET /api/graph/node/0000320193-25-000066 | Status: 200 | Time: 0.011s
2025-12-30 01:37:31.030 | INFO     | app:shutdown_event:97 | ============================================================
2025-12-30 01:37:31.030 | INFO     | app:shutdown_event:98 | Neo4j EDGAR Graph API - Shutting down
2025-12-30 01:37:31.030 | INFO     | app:shutdown_event:99 | ============================================================
